Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name	Num_ref_contigs	Num_query_contigs	ANI_5_percentile	ANI_95_percentile	Standard_deviation	Ref_90_ctg_len	Ref_50_ctg_len	Ref_10_ctg_len	Query_90_ctg_len	Query_50_ctg_len	Query_10_ctg_len	Avg_chain_len	Total_bases_covered
ELGG_part_2/BrooksB_2017_SRR5405867_bin.4.fna	ELGG_part_2/GibsonMK_2016_SRR3132095_bin.5.fna	98.99	90.17	91.39	BrooksB_2017_SRR5405867_bin.4_k119_90	GibsonMK_2016_SRR3132095_bin.5_k141_242	28	34	99.07	99.07	0.75	229540	44126	3519	128190	67334	10572	11316	2512262
ELGG_part_2/BrooksB_2017_SRR5405867_bin.4.fna	ELGG_part_2/GasparriniAJ_2019_SRR9865739_bin.1.fna	98.85	87.71	89.96	BrooksB_2017_SRR5405867_bin.4_k119_90	GasparriniAJ_2019_SRR9865739_bin.1_k141_546	28	48	98.93	98.93	0.79	229540	44126	3519	123111	32589	8097	11159	2443979
ELGG_part_2/BrooksB_2017_SRR5405867_bin.4.fna	ELGG_part_2/CasaburiG_2019_SRR6277125_bin.4.fna	98.92	91.24	87.48	BrooksB_2017_SRR5405867_bin.4_k119_90	CasaburiG_2019_SRR6277125_bin.4_k141_32	28	38	99.03	99.05	1.05	229540	44126	3519	187040	54507	13366	10864	2542203
ELGG_part_2/BrooksB_2017_SRR5405867_bin.4.fna	ELGG_part_2/GibsonMK_2016_SRR3131746_bin.1.fna	98.85	90.73	90.76	BrooksB_2017_SRR5405867_bin.4_k119_90	GibsonMK_2016_SRR3131746_bin.1_k141_165	28	46	99.04	99.03	1.50	229540	44126	3519	120252	37659	14478	11387	2528099
ELGG_part_2/BrooksB_2017_SRR5405867_bin.4.fna	ELGG_part_2/GibsonMK_2016_SRR3131890_bin.4.fna	99.09	90.33	88.98	BrooksB_2017_SRR5405867_bin.4_k119_90	GibsonMK_2016_SRR3131890_bin.4_k141_107	28	75	99.15	99.15	0.49	229540	44126	3519	90407	24020	5866	11038	2516836
ELGG_part_2/BrooksB_2017_SRR5405867_bin.4.fna	ELGG_part_2/FerrettiP_2018_SRR5274038_bin.1.fna	99.44	91.77	90.43	BrooksB_2017_SRR5405867_bin.4_k119_90	FerrettiP_2018_SRR5274038_bin.1_k119_339	28	89	99.70	99.66	1.85	229540	44126	3519	91103	19335	2767	12412	2556946
ELGG_part_2/BrooksB_2017_SRR5405867_bin.4.fna	ELGG_part_2/GibsonMK_2016_SRR3131782_bin.6.fna	99.67	90.56	91.84	BrooksB_2017_SRR5405867_bin.4_k119_90	GibsonMK_2016_SRR3131782_bin.6_k141_117	28	135	99.81	99.77	1.38	229540	44126	3519	50492	13120	2440	11521	2523267
ELGG_part_2/BrooksB_2017_SRR5405867_bin.4.fna	ELGG_part_2/GibsonMK_2016_SRR3131824_bin.2.fna	98.86	85.74	92.25	BrooksB_2017_SRR5405867_bin.4_k119_90	GibsonMK_2016_SRR3131824_bin.2_k141_51	28	146	98.97	98.94	0.97	229540	44126	3519	33647	14870	3442	9368	2389043
ELGG_part_2/BrooksB_2017_SRR5405867_bin.4.fna	ELGG_part_2/GasparriniAJ_2019_SRR9865454_bin.1.fna	98.77	82.35	88.40	BrooksB_2017_SRR5405867_bin.4_k119_90	GasparriniAJ_2019_SRR9865454_bin.1_k141_130	28	318	98.85	98.86	0.84	229540	44126	3519	18194	5879	2292	5867	2294370
ELGG_part_2/BrooksB_2017_SRR5405867_bin.4.fna	ELGG_part_2/GibsonMK_2016_SRR3132063_bin.2.fna	98.60	88.10	85.19	BrooksB_2017_SRR5405867_bin.4_k119_90	GibsonMK_2016_SRR3132063_bin.2_k141_48	28	91	98.70	98.68	0.73	229540	44126	3519	65955	25567	5990	9819	2454837
